modality,gene,cell_type,bla_mean,mpfc_mean,bla_frac,mpfc_frac,log2fc,frac_diff,bla_rank,mpfc_rank
10x,Adra1b,Sst Gaba,0.7295382439248754,1.0543347674112442,0.13645074741280183,0.1757850437034639,-0.5252553352532354,-0.03933429629066207,6,6
10x,Adra1b,Vip Gaba,6.377110208841903,5.870909451782494,0.7948101874098991,0.7252046053544181,0.11912406672988565,0.06960558205548095,1,1
10x,Adra1d,Astro-TE NN,0.0006686586938349007,0.0033106546289468396,0.0001044932079414838,0.0004692632566870014,-0.3192027197138154,-0.0003647700487455176,8,8
10x,Adra1d,Lamp5 Gaba,0.024266831043046357,0.023521866551525616,0.004966887417218543,0.00422183841872961,0.0317102963974022,0.0007450489984889329,3,4
10x,Adra1d,Lamp5 Lhx6 Gaba,0.006749265486725663,0.0,0.0014749262536873156,0.0,0.7440978297857352,0.0014749262536873156,5,9
10x,Adra1d,Microglia NN,0.0011641262816353018,0.005468780155356881,0.00016223231667748214,0.0007328154770628756,-0.4704890840446192,-0.0005705831603853935,7,7
10x,Adra1d,Pvalb Gaba,0.16916505956813105,0.04730625059769167,0.03648548026805659,0.00886232481450948,1.6445249005766533,0.027623155453547113,1,1
10x,Adra1d,Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,0.0,0.0,9,9
10x,Adra1d,Sncg Gaba,0.008064902302025783,0.004576543800978793,0.001841620626151013,0.0008156606851549756,0.30954076518578283,0.0010259599409960375,4,6
10x,Adra1d,Sst Chodl Gaba,0.0,0.03538878086124402,0.0,0.007177033492822967,-2.182335738131316,-0.007177033492822967,9,2
10x,Adra1d,Sst Gaba,0.09283936489076275,0.027307441879788497,0.019931008049060943,0.005395489370885939,1.4628572605664676,0.014535518678175003,2,3
10x,Adra1d,Vip Gaba,0.0024597701105237867,0.012244997475378,0.0004805382027871216,0.0019420169232903315,-0.8362034846736914,-0.00146147872050321,6,5
10x,Adra2a,Astro-TE NN,0.5590102122048067,0.9961805043306294,0.0835423197492163,0.13984045049272642,-0.8223626910909128,-0.056298130743510116,5,2
10x,Adra2a,Lamp5 Gaba,0.44218998245033114,0.6122338416618691,0.08526490066225166,0.1026674342736519,-0.46052782956437144,-0.017402533611400234,4,3
10x,Adra2a,Lamp5 Lhx6 Gaba,0.09317775604719764,0.0,0.014749262536873156,0.0,3.3670600704992784,0.014749262536873156,10,10
10x,Adra2a,Microglia NN,0.11588508531797534,0.07876781040597977,0.016060999351070734,0.010405979774292832,0.5039988482479053,0.005655019576777902,9,7
10x,Adra2a,Pvalb Gaba,0.11585491332836932,0.02013425072135202,0.023827252419955324,0.0039159109645507005,2.0622854416754133,0.019911341455404623,8,8
10x,Adra2a,Pvalb chandelier Gaba,0.12871215933014354,0.021870401773049646,0.023923444976076555,0.0035460992907801418,2.1218051463782515,0.020377345685296415,7,9
10x,Adra2a,Sncg Gaba,2.3760823563535913,1.4229545399265906,0.42357274401473294,0.2398042414355628,0.7356509977097884,0.18376850257917013,1,1
10x,Adra2a,Sst Chodl Gaba,0.8783922430803572,0.15903411889952151,0.16071428571428573,0.02631578947368421,2.3938823177190454,0.13439849624060152,3,6
10x,Adra2a,Sst Gaba,1.3577246286699884,0.48362554204165314,0.24185511690302797,0.08427754397323838,1.4702888419379048,0.15757757292978958,2,4
10x,Adra2a,Vip Gaba,0.4436184145122537,0.5089338289360521,0.07592503604036521,0.07837425440421696,-0.19407137996115262,-0.0024492183638517434,6,5
10x,Adra2b,Astro-TE NN,0.00034533085161964473,0.0004896796943085071,5.22466039707419e-05,6.703760809814306e-05,-0.019990841007544953,-1.479100412740116e-05,3,2
10x,Adra2b,Lamp5 Gaba,0.008152493543046356,0.006227330147764345,0.0016556291390728477,0.0009595087315294569,0.1617420841888948,0.0006961204075433908,2,1
10x,Adra2b,Lamp5 Lhx6 Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Microglia NN,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Pvalb Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Sncg Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Sst Chodl Gaba,0.008673361607142858,0.0,0.002232142857142857,0.0,0.9009816671139999,0.002232142857142857,1,6
10x,Adra2b,Sst Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2b,Vip Gaba,0.0,0.0,0.0,0.0,0.0,0.0,7,6
10x,Adra2c,Astro-TE NN,0.03840703297283177,0.04984977092578937,0.005590386624869384,0.0070389488503050214,-0.30612905592549405,-0.0014485622254356376,10,8
10x,Adra2c,Lamp5 Gaba,0.63932391647351,0.45248203095375167,0.11258278145695365,0.07599309153713299,0.48954103600104615,0.03658968991982066,6,4
10x,Adra2c,Lamp5 Lhx6 Gaba,0.11108839380530974,0.04580707583547558,0.019174041297935103,0.007712082262210797,1.1175406313376168,0.011461959035724306,8,7
10x,Adra2c,Microglia NN,0.041051014860480205,0.04815546917778104,0.005678131083711875,0.006448776198153305,-0.18797523379779768,-0.0007706451144414298,9,9
10x,Adra2c,Pvalb Gaba,0.9716114055845122,0.2899018755152515,0.18540580789277736,0.0521434460016488,1.7106614676192307,0.13326236189112856,4,5
10x,Adra2c,Pvalb chandelier Gaba,0.12144331291866028,0.02155925709219858,0.023923444976076555,0.0035460992907801418,2.0583055980892015,0.020377345685296415,7,10
10x,Adra2c,Sncg Gaba,2.7066909577348066,1.5722853125611744,0.48342541436464087,0.2724306688417618,0.779840693055798,0.21099474552287906,1,1
10x,Adra2c,Sst Chodl Gaba,0.6627437455357142,0.17785848205741628,0.13169642857142858,0.03349282296650718,1.8404108162379336,0.09820360560492139,5,6
10x,Adra2c,Sst Gaba,1.4337446697201992,0.9604743934498758,0.26791874281333844,0.16672062156037554,0.5730535679558785,0.1011981212529629,2,2
10x,Adra2c,Vip Gaba,1.5628397070639117,0.6873192754057428,0.26189332051898123,0.10916909418782078,1.173480382267815,0.15272422633116045,3,3
