cell_label,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
1018093344102010152-3,0.0,0.0,0.0,0.0,1.4251917850417368,0.0,0.0,1.818954003332072,0.0,0.0,0.0
1018093344102140115-3,0.0,0.0,0.0,0.0,0.0,0.7885127829161142,0.7885127829161142,0.0,0.0,0.0,0.0
1018093344102300210-3,0.0,0.0,1.2848149461422333,0.0,1.2848149461422333,0.0,0.0,0.0,0.0,0.0,0.0
1018093344102140267-4,1.4264551298722643,0.0,0.0,0.0,1.4264551298722643,0.0,0.0,1.4264551298722643,0.0,0.0,0.0
1018093344101980700,0.6571030853249349,0.0,0.6571030853249349,0.0,1.7258074901272655,0.0,0.0,1.1069017307810527,0.6571030853249349,0.6571030853249349,0.0
1018093344102130615,0.0,0.0,0.0,0.0,1.4451644220793753,0.8964418016757226,0.0,0.0,0.0,0.8964418016757226,0.0
1018093344102130610-2,0.0,0.0,1.0872919063705992,1.0872919063705992,1.0872919063705992,0.0,1.0872919063705992,0.0,0.0,0.0,0.0
1018093344102140582-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8372629856235945,0.8935731230629328,0.8935731230629328,0.0
1018093344101980458-3,1.0321813736965837,0.0,0.0,0.0,1.0321813736965837,1.0321813736965837,1.0321813736965837,0.0,0.0,0.0,0.0
1018093344102140251-3,0.0,0.0,1.9765453165820959,0.0,0.0,0.0,0.6663922273330288,1.1204834815916391,0.0,0.0,0.0
1018093344102290134-2,0.0,0.9702273740368924,1.955107440990495,0.0,0.0,0.9702273740368924,0.9702273740368924,0.0,0.0,0.0,0.9702273740368924
1018093344102140710,0.0,0.0,0.9048516803711768,0.0,1.854815926440188,0.0,0.9048516803711768,0.0,0.0,0.0,0.0
1018093344102290287-3,0.8949375990639217,0.8949375990639217,1.8393906019476043,0.0,0.0,1.4431074066203107,0.8949375990639217,1.8393906019476043,0.0,0.0,0.0
1018093344101980413-2,0.0,0.0,0.0,0.8744506621361283,0.8744506621361283,0.0,1.8073259200115805,0.8744506621361283,0.0,0.0,0.0
1018093344101990639-3,0.0,0.0,0.0,0.0,2.2289709580822366,1.1566112169810057,0.0,0.0,0.0,0.0,0.0
1018093344102130456-1,0.7712042887678204,0.0,1.2710596975381248,0.0,1.6415837384559595,0.0,0.0,2.3896117174635214,0.0,0.7712042887678204,0.0
1018093344102130318-2,0.0,0.0,1.7082874026054853,0.8122180437993093,0.8122180437993093,0.8122180437993093,2.25687321911031,0.8122180437993093,0.0,0.8122180437993093,0.8122180437993093
1018093344102140191-4,0.0,0.7564929518030783,2.980717987759707,0.0,2.152798205568911,0.0,1.2502084077589477,0.0,1.2502084077589477,0.0,0.0
1018093344102140314-2,0.0,0.0,2.24272351932115,0.0,1.3179747723856232,0.0,0.0,0.0,1.3179747723856232,0.0,0.0
1018093344102140214-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018093344101990507-3,0.0,0.0,0.6073523870920782,0.6073523870920782,1.3619830224540226,1.033455858680155,0.0,0.0,0.0,0.0,0.0
1018093344101980648-2,0.0,0.0,0.8133605053189222,0.0,1.3303289289597446,0.8133605053189222,0.8133605053189222,0.8133605053189222,1.3303289289597446,0.0,0.0
1018093344102140687-3,0.0,0.7000577859896079,2.727077186515987,0.0,0.7000577859896079,0.0,0.7000577859896079,0.0,1.1693732892071906,0.0,0.0
1018093344101980789-1,0.0,0.0,1.2445812282028488,0.0,1.2445812282028488,0.7525335182663555,0.0,0.0,0.0,0.7525335182663555,0.7525335182663555
1018093344102130760-1,0.0,1.841875162837285,1.841875162837285,0.0,0.8965319029394536,1.445287611646617,0.8965319029394536,0.0,0.0,0.0,0.0
1018093344102140393-3,0.8316933189830409,1.355888037034962,2.292447669055917,0.0,0.8316933189830409,0.0,0.0,0.0,0.0,0.0,1.7395540362067288
1018093344102140419-3,0.0,0.0,2.9171427876302958,0.0,1.9681500616278282,0.0,0.7892411450850493,0.0,0.0,0.0,0.0
1018093344102300772-1,1.009178831742127,0.0,0.0,0.0,0.0,1.009178831742127,0.0,1.009178831742127,1.5971880113517936,0.0,0.0
1018093344101990527-2,0.0,0.0,0.8641188563645872,0.8641188563645872,0.0,0.8641188563645872,0.0,0.0,1.4007866652173202,0.0,0.0
1018093344102140705-1,0.0,1.0026237341727773,0.0,1.0026237341727773,0.0,1.5884597536635623,0.0,0.0,0.0,0.0,0.0
1018093344101990413-4,0.0,0.0,1.6393940928415272,0.0,1.0410150108556249,1.0410150108556249,1.0410150108556249,0.0,0.0,0.0,0.0
1018093344102140315-4,0.0,0.0,0.0,0.0,0.0,0.7861159124136854,0.0,0.0,0.0,0.0,0.0
1018093344102140707-1,0.0,0.0,0.0,0.0,0.0,1.319960914685374,0.0,1.319960914685374,0.0,0.0,0.8059500671033207
1018093344102290082-2,0.0,0.0,2.1005326884330646,0.0,1.6746646490541632,1.6746646490541632,0.0,0.0,0.0,0.0,0.0
1018093344101980893-1,0.0,0.0,0.9416765816548327,0.0,0.0,0.0,1.5066619463354352,0.0,0.0,0.0,0.0
1018093344102140375,0.9512380745049256,0.0,1.5195733450533677,0.0,0.0,0.0,0.0,0.9512380745049256,0.0,0.0,0.0
1018093344101970259,0.8909981210628075,0.0,0.0,0.0,0.8909981210628075,0.8909981210628075,1.437716379922209,0.0,0.0,0.8909981210628075,0.0
1018093344102290436-2,0.0,0.0,2.1311588150472254,0.0,0.0,0.8837561051920458,0.0,0.8837561051920458,0.0,0.0,0.0
1018093344102290108-3,0.0,0.0,0.7729535053567105,0.0,1.2735330903000217,1.6444531039803951,0.0,0.0,0.0,0.7729535053567105,0.0
1018093344102130479-2,0.0,0.0,0.0,1.8519279484575069,0.0,1.8519279484575069,0.0,1.8519279484575069,0.0,0.0,0.0
1018093344102140477-3,0.5789386515014578,0.9909547678154141,0.9909547678154141,0.0,0.0,0.0,0.0,1.311066991017778,0.0,0.0,0.0
1018093344101990312-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018093344102290138-2,0.0,1.5656428627316743,0.0,0.7254048848145146,0.7254048848145146,1.5656428627316743,0.7254048848145146,0.0,0.0,0.0,0.0
