cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1104095349102910434,319 Astro-TE NN,1164 Astro-TE NN_4,30 Astro-Epen,,EPd,EPd
1104095349102910449-1,319 Astro-TE NN,1164 Astro-TE NN_4,30 Astro-Epen,,EPd,EPd
1104095349102920526-1,319 Astro-TE NN,1164 Astro-TE NN_4,30 Astro-Epen,,EPd,EPd
1104095349103080089-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349100520076-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102910424,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1104095349102920508-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102920445,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349100530195-1,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1104095349100520202-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102910435-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102910463-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349100530137-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349100520106,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102910402-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102920511-1,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1104095349100530153-2,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349102920523-1,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1104095349103080031,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1104095349100370445-1,027 L6b EPd Glut,0104 L6b EPd Glut_2,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349103090408-1,028 L6b/CT ENT Glut,0107 L6b/CT ENT Glut_2,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370404-2,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100530060-1,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100520172,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370400-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370401-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349103090382-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370493-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349103080215-1,028 L6b/CT ENT Glut,0107 L6b/CT ENT Glut_2,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100530180-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530033,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530147,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530120,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520173-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520209-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530092,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100370443-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349103080273-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520140,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520142-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520109-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100370407-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520191-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520195-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530170-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530098,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530134-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530102-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100530067-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100370403,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100370460-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100370442-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520181-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349103080251-1,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520136,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100520225-1,001 CLA-EPd-CTX Car3 Glut,0001 CLA-EPd-CTX Car3 Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520163,001 CLA-EPd-CTX Car3 Glut,0001 CLA-EPd-CTX Car3 Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520108-1,001 CLA-EPd-CTX Car3 Glut,0001 CLA-EPd-CTX Car3 Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1104095349100370427-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349103080298-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100520185-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520170-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520159-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520122-2,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520217-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520157-1,002 IT EP-CLA Glut,0004 IT EP-CLA Glut_2,01 IT-ET Glut,Glut,EPd,EPd
1104095349100520161,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370484,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370426-1,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349103080241,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100370469-2,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349200520085,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1104095349100530101-1,053 Sst Gaba,0226 Sst Gaba_13,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349102910441-1,053 Sst Gaba,0224 Sst Gaba_11,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520187-1,052 Pvalb Gaba,0209 Pvalb Gaba_5,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520207-1,053 Sst Gaba,0218 Sst Gaba_5,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520177-1,049 Lamp5 Gaba,0199 Lamp5 Gaba_1,06 CTX-CGE GABA,GABA,EPd,EPd
1104095349100520197-1,049 Lamp5 Gaba,0199 Lamp5 Gaba_1,06 CTX-CGE GABA,GABA,EPd,EPd
1104095349102920542,052 Pvalb Gaba,0211 Pvalb Gaba_7,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349103080307-1,052 Pvalb Gaba,0211 Pvalb Gaba_7,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349102920490-1,052 Pvalb Gaba,0212 Pvalb Gaba_8,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349102910398,052 Pvalb Gaba,0206 Pvalb Gaba_2,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520189-1,053 Sst Gaba,0225 Sst Gaba_12,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520158,053 Sst Gaba,0226 Sst Gaba_13,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349102920504-1,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349102920311,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520220,053 Sst Gaba,0215 Sst Gaba_2,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520139-1,053 Sst Gaba,0227 Sst Gaba_14,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100530078,053 Sst Gaba,0227 Sst Gaba_14,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520148-1,053 Sst Gaba,0227 Sst Gaba_14,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520251-1,053 Sst Gaba,0227 Sst Gaba_14,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349103080051,047 Sncg Gaba,0189 Sncg Gaba_5,06 CTX-CGE GABA,GABA,EPd,EPd
1104095349100520254-1,047 Sncg Gaba,0188 Sncg Gaba_4,06 CTX-CGE GABA,Glut-GABA,EPd,EPd
1104095349102920485,046 Vip Gaba,0181 Vip Gaba_9,06 CTX-CGE GABA,GABA,EPd,EPd
1104095349100520246-1,053 Sst Gaba,0231 Sst Gaba_18,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349103080234-1,052 Pvalb Gaba,0211 Pvalb Gaba_7,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520166-1,053 Sst Gaba,0215 Sst Gaba_2,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520208-1,053 Sst Gaba,0230 Sst Gaba_17,07 CTX-MGE GABA,GABA,EPd,EPd
1104095349100520269-1,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344100490322-6,334 Microglia NN,1194 Microglia NN_1,34 Immune,,EPd,EPd
1018093344102900511-1,334 Microglia NN,1194 Microglia NN_1,34 Immune,,EPd,EPd
1018093344102900643-1,334 Microglia NN,1194 Microglia NN_1,34 Immune,,EPd,EPd
1018093344100630100-5,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093344102900580-2,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093344102900737,319 Astro-TE NN,1164 Astro-TE NN_4,30 Astro-Epen,,EPd,EPd
