structure,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
LC,0.3629032258064516,0.20967741935483872,0.3629032258064516,0.06451612903225806,0.3467741935483871,0.25,0.4274193548387097,0.20161290322580644,0.45161290322580644,0.24193548387096775,0.3709677419354839
SLC,0.33183856502242154,0.16591928251121077,0.2645739910313901,0.09417040358744394,0.33183856502242154,0.17040358744394618,0.2825112107623318,0.06278026905829596,0.17488789237668162,0.18834080717488788,0.1210762331838565
B,0.5289256198347108,0.11570247933884298,0.2975206611570248,0.03305785123966942,0.4132231404958678,0.47107438016528924,0.4628099173553719,0.17355371900826447,0.5454545454545454,0.14049586776859505,0.2644628099173554
PB,0.36645962732919257,0.1373148590539895,0.31925465838509315,0.09288103201146679,0.33444816053511706,0.24720496894409938,0.4188246536072623,0.1541328236980411,0.34667940754897275,0.1557572861920688,0.2910654562828476
LDT,0.3997569866342649,0.1227217496962333,0.4374240583232078,0.0959902794653706,0.3669501822600243,0.36998784933171325,0.42102065613608747,0.11117861482381532,0.44957472660996356,0.1433778857837181,0.19076549210206561
DTN,0.48524844720496896,0.056677018633540376,0.5644409937888198,0.1482919254658385,0.32375776397515527,0.1281055900621118,0.2554347826086957,0.09316770186335403,0.3967391304347826,0.40139751552795033,0.17003105590062112
NI,0.35608856088560886,0.0544280442804428,0.37915129151291516,0.1033210332103321,0.4077490774907749,0.2915129151291513,0.4022140221402214,0.11162361623616236,0.28413284132841327,0.21309963099630996,0.19095940959409594
PDTg,0.29343629343629346,0.04826254826254826,0.41312741312741313,0.04826254826254826,0.45366795366795365,0.2799227799227799,0.3783783783783784,0.09073359073359073,0.23938223938223938,0.1718146718146718,0.13513513513513514
SLD,0.3924731182795699,0.15053763440860216,0.3333333333333333,0.08602150537634409,0.5,0.22849462365591397,0.3736559139784946,0.10752688172043011,0.2661290322580645,0.22580645161290322,0.1774193548387097
