region,subclass,n_cells,mean_expr,frac_expr
STRd,Astro-NT NN,111,0.389596700900901,0.05405405405405406
STRd,Astro-TE NN,6190,1.0811418619224555,0.1555735056542811
STRd,BAM NN,110,0.0786551909090909,0.00909090909090909
STRd,Endo NN,1811,0.02264761706239647,0.0033130866924351186
STRd,Ependymal NN,59,0.0,0.0
STRd,IT EP-CLA Glut,37,3.219524437837838,0.5675675675675675
STRd,L6 CT CTX Glut,172,2.839756109883721,0.4941860465116279
STRd,L6 IT CTX Glut,116,2.302178972413793,0.4224137931034483
STRd,LA-BLA-BMA-PA Glut,76,2.8688307736842105,0.5131578947368421
STRd,Microglia NN,2277,0.21225913333333332,0.02766798418972332
STRd,OB-STR-CTX Inh IMN,1642,0.19396008038976859,0.02984165651644336
STRd,OB-in Frmd7 Gaba,77,0.15611424025974024,0.025974025974025976
STRd,OB-out Frmd7 Gaba,30,0.27193116666666667,0.03333333333333333
STRd,OPC NN,1331,0.30420296018031556,0.04658151765589782
STRd,Oligo NN,3633,0.022241165042664466,0.0038535645472061657
STRd,PAL-STR Gaba-Chol,30,0.29617409,0.06666666666666667
STRd,Peri NN,556,1.8759248735611511,0.2302158273381295
STRd,SMC NN,284,0.027503451760563378,0.0035211267605633804
STRd,STR D1 Gaba,16660,0.032404942298919576,0.006422569027611044
STRd,STR D1 Sema5a Gaba,780,0.020063485897435895,0.0038461538461538464
STRd,STR D2 Gaba,18139,0.08957112879431059,0.017035117702188653
STRd,STR Lhx8 Gaba,178,0.2874746039325843,0.056179775280898875
STRd,STR Prox1 Lhx6 Gaba,367,0.010366210626702997,0.0027247956403269754
STRd,STR-PAL Chst9 Gaba,437,0.4980771913043478,0.08237986270022883
STRd,Sst Chodl Gaba,230,0.16226836347826087,0.030434782608695653
STRd,VLMC NN,148,5.883346362162163,0.7297297297297297
STRv,ACB-BST-FS D1 Gaba,305,0.0872430213114754,0.019672131147540985
STRv,Astro-NT NN,168,0.49844603809523813,0.07142857142857142
STRv,Astro-TE NN,5989,0.7108598992653198,0.10452496243112373
STRv,BAM NN,157,0.0,0.0
STRv,CEA-AAA-BST Six3 Sp9 Gaba,65,0.07936238461538461,0.015384615384615385
STRv,Endo NN,1566,0.033559348212005104,0.004469987228607918
STRv,HPF CR Glut,51,0.11929556862745098,0.0196078431372549
STRv,IA Mgp Gaba,20,0.5813102499999999,0.1
STRv,IT AON-TT-DP Glut,164,4.14980594512195,0.676829268292683
STRv,L6 CT CTX Glut,80,3.8674071187499997,0.675
STRv,LSX Prdm12 Slit2 Gaba,39,0.5631745230769231,0.10256410256410256
STRv,Lamp5 Gaba,45,3.2877502577777773,0.5777777777777777
STRv,Microglia NN,1686,0.24512272805456703,0.033214709371293
STRv,NDB-SI-ant Prdm12 Gaba,96,1.1562626291666667,0.20833333333333334
STRv,OB Dopa-Gaba,29,0.21003868965517242,0.034482758620689655
STRv,OB Meis2 Thsd7b Gaba,52,0.16034578846153844,0.019230769230769232
STRv,OB-STR-CTX Inh IMN,1083,0.18376437719298244,0.02677746999076639
STRv,OB-in Frmd7 Gaba,113,0.04917298230088496,0.008849557522123894
STRv,OB-out Frmd7 Gaba,42,0.0,0.0
STRv,OPC NN,1700,0.22243558029411764,0.03411764705882353
STRv,OT D3 Folh1 Gaba,7665,0.02585347581213307,0.004174820613176778
STRv,Oligo NN,2588,0.020378664451313755,0.0034775888717156105
STRv,PAL-STR Gaba-Chol,77,0.7088116805194805,0.18181818181818182
STRv,Peri NN,363,1.72575221184573,0.21212121212121213
STRv,SI-MA-ACB Ebf1 Bnc2 Gaba,44,0.10967755227272727,0.022727272727272728
STRv,SI-MA-LPO-LHA Skor1 Glut,105,1.6702974104761903,0.3142857142857143
STRv,SMC NN,204,0.036150537254901964,0.004901960784313725
STRv,STR D1 Gaba,12350,0.04039200006477733,0.00825910931174089
STRv,STR D1 Sema5a Gaba,2707,0.016213222940524567,0.0029553010712966383
STRv,STR D2 Gaba,11148,0.09850355274488698,0.019644779332615717
STRv,STR Lhx8 Gaba,326,0.07350132975460122,0.012269938650306749
STRv,STR Prox1 Lhx6 Gaba,412,0.009268671601941747,0.0024271844660194173
STRv,STR-PAL Chst9 Gaba,1349,0.10795633417346182,0.017790956263899184
STRv,Sst Chodl Gaba,335,0.22076015134328358,0.041791044776119404
STRv,VLMC NN,139,4.5258551208633095,0.5539568345323741
STRv,Vip Gaba,51,0.12276359607843138,0.0196078431372549
PAL,ACB-BST-FS D1 Gaba,1578,0.08020371147021546,0.014575411913814956
PAL,ADP-MPO Trp73 Glut,291,0.2588845807560137,0.048109965635738834
PAL,AHN Onecut3 Gaba,24,1.1813920416666666,0.20833333333333334
PAL,AHN-RCH-LHA Otp Fezf1 Glut,42,0.4651181833333333,0.09523809523809523
PAL,AV Col27a1 Glut,188,0.07733807819148937,0.015957446808510637
PAL,AVPV-MEPO-SFO Tbr1 Glut,253,0.2515789537549407,0.05138339920948617
PAL,Astro-NT NN,8066,0.3183717718075874,0.043639970245474835
PAL,Astro-TE NN,2284,0.6006535610770578,0.08493870402802102
PAL,Astroependymal NN,68,0.0,0.0
PAL,BAM NN,139,0.0,0.0
PAL,BST Tac2 Gaba,705,0.23171726184397162,0.04539007092198582
PAL,BST-MPN Six3 Nrgn Gaba,799,1.7727053639549437,0.28911138923654567
PAL,BST-SI-AAA Six3 Slc22a3 Gaba,575,0.149944352,0.02782608695652174
PAL,BST-po Iigp1 Glut,73,0.0,0.0
PAL,CEA-AAA-BST Six3 Sp9 Gaba,1155,0.14928018077922078,0.024242424242424242
PAL,CEA-BST Ebf1 Pdyn Gaba,1761,0.19361763594548553,0.0380465644520159
PAL,CEA-BST Gal Avp Gaba,172,0.09389996453488372,0.01744186046511628
PAL,CEA-BST Rai14 Pdyn Crh Gaba,303,1.7855027897689768,0.2508250825082508
PAL,CEA-BST Six3 Cyp26b1 Gaba,1019,0.09771351010794897,0.018645731108930325
PAL,CHOR NN,36,0.0,0.0
PAL,COAa-PAA-MEA Barhl2 Glut,96,0.3607429541666667,0.0625
PAL,DMH-LHA Gsx1 Gaba,42,0.22657157142857146,0.047619047619047616
PAL,Endo NN,2224,0.04349567540467626,0.006294964028776978
PAL,Ependymal NN,38,0.3915317368421053,0.05263157894736842
PAL,GPe-SI Sox6 Cyp26b1 Gaba,1106,0.1409303405063291,0.02802893309222423
PAL,GPi Tbr1 Cngb3 Gaba-Glut,329,0.17571460972644376,0.03343465045592705
PAL,HPF CR Glut,61,0.10870111967213114,0.01639344262295082
PAL,HY Gnrh1 Glut,76,0.06241736842105263,0.013157894736842105
